WELL,DEPTH_MD,X_LOC,Y_LOC,Z_LOC,GROUP,FORMATION,CALI,RMED,RDEP,GR,NPHI,DTC,ROP,DTS,DCAL,DRHO,ROPA,Well_ID,Date,Oil_volume,Liquid_volume,Water_volume,Water_cut,Working_hours,Dynamic_level,Reservoir_pressure,
15/9-23,1526.488,433906.8438,6460000.5,-1501.449219,HORDALAND GP.,Skade Fm.,13.78704166,0.901044726,0.841768324,116.5966644,0.580941856,147.0797272,96.23442078,324.6042786,1.537042618,0.162041307,122.3944321,15_9-23,2/24/2013,44,73,29,38,24,1838,212,
15/9-23,1526.64,433906.8438,6460000.5,-1501.601196,HORDALAND GP.,Skade Fm.,13.62770748,0.890772998,0.835891902,117.1887512,0.588394642,149.6818237,91.4651947,318.2044373,1.37770772,0.169677004,129.3087158,15_9-23,2/25/2013,44,73,29,38,24,1843,212,
15/9-23,1526.792,433906.8438,6460000.5,-1501.753174,HORDALAND GP.,Skade Fm.,13.50179386,0.88209939,0.833299756,119.0351868,0.49039495,151.1300049,79.53952026,315.1731873,1.251794934,0.162299275,136.2230072,15_9-23,2/26/2013,48,74,26,34,24,1854,212,
15/9-23,1526.944,433906.8438,6460000.5,-1501.905151,HORDALAND GP.,Skade Fm.,13.40441513,0.870924652,0.829209089,114.9214935,0.392216981,148.0354462,90.31996918,315.9302979,1.154415131,0.148131311,143.1372986,15_9-23,2/27/2013,48,74,26,34,24,1877,212,
15/9-23,1527.096,433906.8438,6460000.5,-1502.057129,HORDALAND GP.,Skade Fm.,13.39096832,0.859460473,0.812786758,113.0031967,0.390905768,146.1291046,100.9835434,323.068634,1.140969992,0.150089473,138.9203644,15_9-23,2/28/2013,47,73,26,34,24,1939,212,
15/9-23,1527.248,433906.8438,6460000.5,-1502.209229,HORDALAND GP.,Skade Fm.,13.59396362,0.852154911,0.803767622,122.4092636,0.390503019,144.2972717,116.9060593,332.9360962,1.343961716,0.168957129,128.2102509,15_9-23,3/1/2013,44,73,29,38,24,1843,212,
15/9-23,1527.4,433906.875,6460000.5,-1502.361206,HORDALAND GP.,Skade Fm.,13.84176827,0.845267475,0.800828397,117.9126968,0.398520827,143.8768005,117.3029938,322.526062,1.591768861,0.172664806,117.5001144,15_9-23,3/2/2013,44,73,29,38,24,1849,212,
15/9-23,1527.552,433906.875,6460000.5,-1502.513184,HORDALAND GP.,Skade Fm.,13.95683765,0.858823061,0.803860247,123.2489014,0.429498643,143.3394928,90.14476013,322.5751648,1.706837058,0.177734599,106.7899857,15_9-23,3/3/2013,45,73,28,37,24,1861,212,
15/9-23,1527.704,433906.875,6460000.5,-1502.665161,HORDALAND GP.,Skade Fm.,13.92333603,0.909427404,0.805377364,122.8488998,0.461515635,142.2698975,67.95248413,331.5184326,1.673335791,0.180065289,96.0798645,15_9-23,3/4/2013,45,73,28,37,24,1832,212,
15/9-23,1527.856,433906.875,6460000.5,-1502.817017,HORDALAND GP.,Skade Fm.,13.91690731,0.883395016,0.830143094,130.3453217,0.43509683,142.2362061,54.44733429,329.1371155,1.66690886,0.172441438,85.36973572,15_9-23,3/5/2013,46,75,29,37,24,1831,212,
15/9-23,1528.008,433906.875,6460000.5,-1502.969116,HORDALAND GP.,Skade Fm.,13.91679859,0.858018279,0.842844963,129.1234283,0.389048785,142.4769287,38.95822907,324.5942383,1.666800022,0.172299996,75.25930786,15_9-23,3/6/2013,46,74,28,37,24,1847,212,
15/9-23,1528.16,433906.875,6460000.5,-1503.121094,HORDALAND GP.,Skade Fm.,13.47803211,0.863847673,0.822006345,120.0345078,0.413099885,144.4802704,27.90613747,333.1358337,1.228032827,0.144175157,75.94351959,15_9-23,3/7/2013,43,74,31,40,24,1845,211,
15/9-23,1528.312,433906.875,6460000.5,-1503.273071,HORDALAND GP.,Skade Fm.,13.46749973,0.873450577,0.831632555,115.6566162,0.423247963,147.9340057,53.23122406,330.6124573,1.217499971,0.1435,76.62773132,15_9-23,3/8/2013,43,74,31,40,24,1853,211,
15/9-23,1528.464,433906.875,6460000.5,-1503.425049,HORDALAND GP.,Skade Fm.,12.88154602,0.885743439,0.841029763,116.971817,0.423694253,153.82547,117.3205185,318.5467224,0.631546021,0.117567696,77.31194305,15_9-23,3/9/2013,43,74,31,40,24,1940,211,
15/9-23,1528.616,433906.875,6460000.5,-1503.577026,HORDALAND GP.,Skade Fm.,12.80693436,0.895595908,0.846920013,120.1042328,0.439397305,152.0445252,181.0790863,326.477478,0.556934357,0.108757563,77.99615479,15_9-23,3/10/2013,43,74,31,40,24,1852,211,
15/9-23,1528.768,433906.875,6460000.5,-1503.729004,HORDALAND GP.,Skade Fm.,12.7285986,0.893002152,0.851446688,124.7445602,0.455837965,150.5349884,194.5522766,329.6990356,0.478597492,0.097874686,78.68036652,15_9-23,3/11/2013,43,74,31,40,24,1854,211,
15/9-23,1528.92,433906.875,6460000.5,-1503.881104,HORDALAND GP.,Skade Fm.,12.84298325,0.88335985,0.844372571,124.3263092,0.456400007,149.6921082,168.4880981,319.7017517,0.592983663,0.094609037,79.36457825,15_9-23,3/12/2013,43,74,31,40,24,1855,211,
15/9-23,1529.072,433906.875,6460000.5,-1504.033081,HORDALAND GP.,Skade Fm.,12.84077263,0.883096039,0.840161383,121.5894775,0.435650438,149.828476,124.2921982,309.9859009,0.590771556,0.092962995,86.56302643,15_9-23,3/13/2013,43,74,31,40,24,1861,211,
15/9-23,1529.224,433906.875,6460000.5,-1504.185059,HORDALAND GP.,Skade Fm.,12.80762768,0.874091625,0.83769995,128.0098572,0.436045855,150.2773132,107.6961594,301.6751404,0.557628989,0.091558322,100.999527,15_9-23,3/14/2013,43,74,31,40,24,1847,211,
15/9-23,1529.376,433906.875,6460000.5,-1504.337036,HORDALAND GP.,Skade Fm.,12.7148943,0.86136657,0.829473317,130.458374,0.439063877,150.2644043,103.1500626,300.9096375,0.464894056,0.082799643,115.4360199,15_9-23,3/15/2013,43,74,31,40,24,1854,211,
15/9-23,1529.528,433906.875,6460000.5,-1504.489014,HORDALAND GP.,Skade Fm.,12.71070004,0.856606543,0.826431453,133.2012177,0.44510898,150.1442719,106.6781769,304.3334351,0.460700005,0.082400002,129.8725128,15_9-23,3/16/2013,43,74,31,40,24,1823,211,
15/9-23,1529.68,433906.875,6460000.5,-1504.640991,HORDALAND GP.,Skade Fm.,12.85588265,0.855259061,0.819929838,124.2367249,0.447491705,149.8046112,97.43367004,311.7094116,0.605882943,0.08819969,144.309021,15_9-23,3/17/2013,43,74,31,40,24,1831,211,
15/9-23,1529.832,433906.875,6460000.5,-1504.792969,HORDALAND GP.,Skade Fm.,12.83108139,0.844774723,0.809838116,119.1405716,0.43736428,149.0530701,98.53696442,327.3236084,0.581081569,0.090016402,158.7455139,15_9-23,3/18/2013,45,77,32,40,24,1901,211,
15/9-23,1529.984,433906.9063,6460000.5,-1504.944946,HORDALAND GP.,Skade Fm.,12.55908775,0.843349099,0.813838184,118.8969421,0.408814549,148.4082489,114.2128143,336.6393433,0.309088826,0.070434533,173.1820068,15_9-23,3/19/2013,45,77,32,40,24,1887,211,
